country_name,iso3,stakeholder,fit_inst,fit,share,resource_rents_pct_gdp,resource_rents_year
Afghanistan,AFG,Magicians,0.28483083079006,0.28483083079006,0.2302326348347888,0.428525449642917,2021
Afghanistan,AFG,Workhorses,0.14021389611512128,0.14021389611512128,0.1133367994380835,0.428525449642917,2021
Afghanistan,AFG,Rentiers,0.5287489311805169,0.11606683855182079,0.09381840435815032,0.428525449642917,2021
Afghanistan,AFG,Powerbrokers,0.8917910447761194,0.6960320349472151,0.5626121613689774,0.428525449642917,2021
Albania,ALB,Magicians,0.5292600067066686,0.5292600067066686,0.3654287811509087,1.44260146706838,2021
Albania,ALB,Workhorses,0.5670906177549236,0.5670906177549236,0.3915490130036431,1.44260146706838,2021
Albania,ALB,Rentiers,0.45061466229006486,0.17035432354868305,0.11762153200569503,1.44260146706838,2021
Albania,ALB,Powerbrokers,0.2920181700194679,0.1816210569633276,0.12540067383975323,1.44260146706838,2021
Algeria,DZA,Magicians,0.4062406653774289,0.4062406653774289,0.31181325989500863,22.5902703479201,2021
Algeria,DZA,Workhorses,0.33502818519456073,0.33502818519456073,0.25715355326421463,22.5902703479201,2021
Algeria,DZA,Rentiers,0.5252112282166677,0.46436358592327326,0.3564259707204504,22.5902703479201,2021
Algeria,DZA,Powerbrokers,0.8389960137202188,0.09720075768709852,0.07460721612032632,22.5902703479201,2021
Angola,AGO,Magicians,0.424364682585251,0.424364682585251,0.32813460049810905,29.9674348417559,2021
Angola,AGO,Workhorses,0.277197566633132,0.277197566633132,0.21433949741549965,29.9674348417559,2021
Angola,AGO,Rentiers,0.5812392739067862,0.5493419966801942,0.42477172115112777,29.9674348417559,2021
Angola,AGO,Powerbrokers,0.7718897747288402,0.042359804710729074,0.03275418093526356,29.9674348417559,2021
Argentina,ARG,Magicians,0.5228118538909844,0.5228118538909844,0.31109560115852763,2.65308888983975,2021
Argentina,ARG,Workhorses,0.540777017432512,0.540777017432512,0.3217856482763732,2.65308888983975,2021
Argentina,ARG,Rentiers,0.5483811756582333,0.2608154372033061,0.1551964337157236,2.65308888983975,2021
Argentina,ARG,Powerbrokers,0.6791624177250395,0.35614614588020366,0.21192231684937557,2.65308888983975,2021
Armenia,ARM,Magicians,0.49742053538649217,0.49742053538649217,0.36601144180914746,7.05429982361028,2021
Armenia,ARM,Workhorses,0.5390672191577103,0.5390672191577103,0.3966558597398011,7.05429982361028,2021
Armenia,ARM,Rentiers,0.35569237342427806,0.2342364410355002,0.17235560538535605,7.05429982361028,2021
Armenia,ARM,Powerbrokers,0.25860990080652635,0.08830581978759436,0.06497709306569543,7.05429982361028,2021
Australia,AUS,Magicians,0.7162995166591419,0.7162995166591419,0.3587379287136889,13.3578752832739,2021
Australia,AUS,Workhorses,0.9154104763956465,0.9154104763956465,0.45845690327507815,13.3578752832739,2021
Australia,AUS,Rentiers,0.4507016144102093,0.36001165541303304,0.180301441746072,13.3578752832739,2021
Australia,AUS,Powerbrokers,0.024844720496894457,0.00499924253900925,0.0025037262651608863,13.3578752832739,2021
Austria,AUT,Magicians,0.7068672634260984,0.7068672634260984,0.3660651997915776,0.117855774382781,2021
Austria,AUT,Workhorses,0.8334235619435377,0.8334235619435377,0.4316048832635827,0.117855774382781,2021
Austria,AUT,Rentiers,0.5652020363110666,0.06892707759891056,0.035695251057460665,0.117855774382781,2021
Austria,AUT,Powerbrokers,0.36645962732919257,0.321769428874413,0.166634665887379,0.117855774382781,2021
Azerbaijan,AZE,Magicians,0.3764616267594093,0.3764616267594093,0.34034634123522317,29.9383945565987,2021
Azerbaijan,AZE,Workhorses,0.2466652971138761,0.2466652971138761,0.2230018291772913,29.9383945565987,2021
Azerbaijan,AZE,Rentiers,0.4723719300180708,0.4435687635535543,0.4010156547991667,29.9383945565987,2021
Azerbaijan,AZE,Powerbrokers,0.6464494298692871,0.03941764816276144,0.03563617478831888,29.9383945565987,2021
Bahrain,BHR,Magicians,0.45814283396696265,0.45814283396696265,0.37335521867694627,16.6400337175308,2021
Bahrain,BHR,Workhorses,0.3609385556954583,0.3609385556954583,0.29414034968914654,16.6400337175308,2021
Bahrain,BHR,Rentiers,0.4389145522688237,0.36130161314811704,0.2944362167956033,16.6400337175308,2021
Bahrain,BHR,Powerbrokers,0.26417215166404,0.04671336828205587,0.03806821483830383,16.6400337175308,2021
Bangladesh,BGD,Magicians,0.3866863950816895,0.3866863950816895,0.28104208109397255,0.610069177584654,2021
Bangladesh,BGD,Workhorses,0.4250505046086866,0.4250505046086866,0.30892495806590897,0.610069177584654,2021
Bangladesh,BGD,Rentiers,0.40468530661052493,0.10610651331861325,0.07711777735130472,0.610069177584654,2021
Bangladesh,BGD,Powerbrokers,0.6208398998794846,0.45805870661840026,0.3329151834888138,0.610069177584654,2021
Barbados,BRB,Magicians,0.6002530115048821,0.6002530115048821,0.3602486730894246,0.328405869203115,2021
Barbados,BRB,Workhorses,0.7769502685229571,0.7769502685229571,0.4662955419251419,0.328405869203115,2021
Barbados,BRB,Rentiers,0.4424758675039695,0.08094070747023832,0.048577486336918566,0.328405869203115,2021
Barbados,BRB,Powerbrokers,0.25465838509316774,0.20807453416149072,0.124878298648515,0.328405869203115,2021
Belarus,BLR,Magicians,0.3672519359681171,0.3672519359681171,0.29367326815687184,1.86330240223309,2021
Belarus,BLR,Workhorses,0.3573310681846846,0.3573310681846846,0.28574003927617836,1.86330240223309,2021
Belarus,BLR,Rentiers,0.3968830049949664,0.16698126429666268,0.13352668510159882,1.86330240223309,2021
Belarus,BLR,Powerbrokers,0.619715861685362,0.3589817491470085,0.287060007465351,1.86330240223309,2021
Belgium,BEL,Magicians,0.7303367807592405,0.7303367807592405,0.4192264410676732,0.0448914290094104,2021
Belgium,BEL,Workhorses,0.8273522404808409,0.8273522404808409,0.47491505894797453,0.0448914290094104,2021
Belgium,BEL,Rentiers,0.5374773300997628,0.032773007932912365,0.018812295698040042,0.0448914290094104,2021
Belgium,BEL,Powerbrokers,0.16149068322981364,0.15164369034994693,0.08704620428631228,0.0448914290094104,2021
Benin,BEN,Magicians,0.4868687435780933,0.4868687435780933,0.3388357869150833,2.30442028320417,2021
Benin,BEN,Workhorses,0.4632278229324887,0.4632278229324887,0.32238291320731444,2.30442028320417,2021
Benin,BEN,Rentiers,0.5293523528483458,0.24530962692972125,0.17072297528840089,2.30442028320417,2021
Benin,BEN,Powerbrokers,0.4500324464633355,0.2414808249315459,0.1680583245892013,2.30442028320417,2021
Bhutan,BTN,Magicians,0.49838467465799835,0.49838467465799835,0.2995564822408159,2.73325446048629,2021
Bhutan,BTN,Workhorses,0.7136249483272706,0.7136249483272706,0.4289276738031625,2.73325446048629,2021
Bhutan,BTN,Rentiers,0.37588481201031165,0.18106646432204038,0.10883086070275524,2.73325446048629,2021
Bhutan,BTN,Powerbrokers,0.522225827384815,0.27066582516895904,0.16268498325326633,2.73325446048629,2021
Bolivia,BOL,Magicians,0.44907580835589594,0.44907580835589594,0.3202987693326288,9.46769419569564,2021
Bolivia,BOL,Workhorses,0.3775780456820797,0.3775780456820797,0.2693037146706979,9.46769419569564,2021
Bolivia,BOL,Rentiers,0.5206483831031378,0.37778754627605726,0.2694531388462534,9.46769419569564,2021
Bolivia,BOL,Powerbrokers,0.7201840177992027,0.19761146829856174,0.14094437715041996,9.46769419569564,2021
Bosnia and Herzegovina,BIH,Magicians,0.5416365872311084,0.5416365872311084,0.3736142245249925,0.813398711441269,2021
Bosnia and Herzegovina,BIH,Workhorses,0.5066904478286763,0.5066904478286763,0.34950880941681595,0.813398711441269,2021
Bosnia and Herzegovina,BIH,Rentiers,0.5080335390978858,0.14559497766829654,0.10042961638605866,0.813398711441269,2021
Bosnia and Herzegovina,BIH,Powerbrokers,0.35855659590247524,0.25579952268652195,0.17644734967213296,0.813398711441269,2021
Botswana,BWA,Magicians,0.5114599130103802,0.5114599130103802,0.3726249306505642,1.03853443914101,2021
Botswana,BWA,Workhorses,0.6211637206588637,0.6211637206588637,0.4525498136712387,1.03853443914101,2021
Botswana,BWA,Rentiers,0.371291753201489,0.11772665345413066,0.0857699400542817,1.03853443914101,2021
Botswana,BWA,Powerbrokers,0.17898859738574213,0.12223611528782388,0.08905531562391544,1.03853443914101,2021
Brazil,BRA,Magicians,0.6499982178736662,0.6499982178736662,0.33095892059202553,7.94111199933246,2021
Brazil,BRA,Workhorses,0.699080593861532,0.699080593861532,0.35595014322979784,7.94111199933246,2021
Brazil,BRA,Rentiers,0.6260206601517315,0.4351607027883987,0.2215703251465029,7.94111199933246,2021
