code,val_2006,val_2025,loading,scale_sd,delta,contribution,name
v2smorgelitact,0.4382724432975689,0.8750509303273123,0.13774016790224372,0.18325986473801592,0.43677848702974337,0.32828760528428286,Elites’ use of social media to organize offline action 
v2smgovfilcap,0.02247191011235961,0.5646513286962725,-0.12621209578113646,0.219267865219109,0.5421794185839129,-0.31208221341733633,Government Internet filtering capacity 
v2smpolsoc,0.34489025583671185,0.5787781350482315,-0.17267573979692868,0.18775068723396637,0.23388787921151966,-0.21510846733709,Polarization of society 
v2smregcap,0.19707495429616087,0.4917733089579524,-0.14648489873746637,0.21331852992393924,0.2946983546617915,-0.20236806739725213,Government capacity to regulate online content 
v2smpolcap,0.15513794482207116,0.4188991070238571,-0.11743691128515071,0.15372001686570977,0.2637611622017859,-0.20150463705074587,Political parties cyber security capacity 
v2psparban,0.937738246505718,0.5281130876747141,0.11291597178080641,0.23142959663923268,-0.4096251588310039,-0.1998587196579376,Party ban
v2smgovcapsec,0.06180392156862747,0.32423529411764707,-0.13521134179429803,0.18946116077152092,0.2624313725490196,-0.18728745177521378,Government cyber security capacity 
v2merange,0.5466970387243735,0.09041527948133869,0.09073908069358311,0.2489653913429007,-0.45628175924303477,-0.1662985652248344,Print/broadcast media perspectives
v2smgovshutcap,0.16108425414364647,0.7104627071823205,-0.06615193301753278,0.21928084491382135,0.549378453038674,-0.16573470720150196,Government Internet shut down capacity 
v2smorgavgact,0.3506205673758866,0.5913120567375887,0.12742972508091874,0.193611186088065,0.2406914893617021,0.15841672652492098,Average people’s use of social media to organize offline action 
v2cagenmob,0.46071179344033497,0.23740404745289603,0.13639383523181547,0.21525276147518907,-0.22330774598743894,-0.14149783586265183,Mass mobilization
v2smcamp,0.3326176713459951,0.6338563170933114,0.08031321460561905,0.20896716168157528,0.30123864574731624,0.11577629618320745,Party/candidate use of social media in campaigns 
v2elsnlsff,0.43716881150643455,0.6356926570779713,-0.14749124101748803,0.25974335079491656,0.19852384557153674,-0.11272869263178516,Subnational election unevenness
v2cacamps,0.4215745192307692,0.5952524038461539,0.14559991546063772,0.22433083781049257,0.17367788461538464,0.11272407112723595,Political polarization
v2svdomaut,0.9284042138119393,0.7266874756145143,-0.08991870567582792,0.16450986365029985,-0.20171673819742497,0.11025544371259488,Domestic autonomy
v2cademmob,0.3522267206477733,0.19573341638118963,0.15857897006445434,0.22811980668329174,-0.15649330426658364,-0.10878734018494046,Mobilization for democracy
v2elpeace,0.36029277218664224,0.6477584629460201,-0.10068627579086774,0.2774792759352044,0.2874656907593779,-0.10430995151857701,Election other electoral violence
v2mecenefi,0.8530249110320285,0.4738434163701068,0.06433435125420098,0.2517415617703684,-0.3791814946619217,-0.09690253486599439,Internet censorship effort
v2smpardom,0.3846032992930086,0.11657501963864886,-0.06967745519640284,0.19864600333561216,-0.26802827965435977,0.094014116233858,Party dissemination of false information domestic 
v2smmefra,0.5679290652239255,0.4691914637811843,-0.15808319189097592,0.17527590919362612,-0.09873760144274119,0.08905248455156874,Online media fractionalization 
v2dlcommon,0.44554455445544555,0.1907905076221908,-0.06314970161816935,0.19062176019057694,-0.25475404683325475,0.0843956221338913,Common good
v2regoppgroupssize,0.7458279845956355,0.5887890457851948,0.12275563899285864,0.22867485449974903,-0.15703893881044073,-0.08430054682928523,Regime opposition groups size
v2pssunpar,0.3594286747423612,0.01102874706201409,0.0707909882452735,0.29451892368653443,-0.3483999276803471,-0.0837419031563615,Subnational party control
v2caviol,0.2798535915815159,0.3945401860606984,0.17225852823712862,0.24243336594049036,0.1146865944791825,0.08148937707840834,Political violence
v2smgovsmmon,0.7280194706419226,0.39093398235473076,0.05105250561600726,0.21767493608320046,-0.33708548828719187,-0.07905852227873726,Government social media monitoring 
v2meslfcen,0.4188034188034188,0.2332347140039448,0.08855719333096894,0.2124583350259654,-0.18556870479947402,-0.07734901840916773,Media self-censorship
v2svinlaut,0.8216647218980941,0.6841695838195255,-0.08607956544613456,0.1573661974596177,-0.1374951380785686,0.07521006371013451,International autonomy
v2psbars,0.6491150442477877,0.496165191740413,0.10441709496379714,0.2217854028593799,-0.15294985250737464,-0.07200915420068127,Barriers to parties
v2mecrit,0.4999218627910611,0.3097358962337865,0.08277622309454642,0.22271731327031694,-0.1901859665572746,-0.07068546116165397,Print/broadcast media critical
v2dlunivl,0.32436574152903114,0.4473012089221863,-0.10614578099855543,0.18953036018286604,0.12293546739315514,-0.06884955627308813,Means-tested v. universalistic policy
v2elmulpar,0.7786764705882353,0.42922794117647056,0.06179575647817961,0.3164015985978227,-0.34944852941176474,-0.06825008571665289,Elections multiparty
v2smgovfilprc,0.4401244167962675,0.2060653188180404,0.07209368414512636,0.2483880552424201,-0.2340590979782271,-0.06793475903850021,Government Internet filtering in practice 
v2elvotbuy,0.26861313868613135,0.10821167883211677,-0.11284496284447389,0.2740306397951264,-0.16040145985401458,0.06605282092162441,Election vote buying
v2smregapp,0.787707523843165,0.6192158247968916,0.07623248360455882,0.19704279574469338,-0.16849169904627337,-0.06518655318762252,Government online content regulation approach 
v2elpaidig,0.7392649903288201,0.37156673114119926,0.04966977080764397,0.2871057934552758,-0.36769825918762084,-0.06361239890153526,Election paid interest group media
v2svstterr,0.9046583910150068,0.7635528097172166,-0.10755727934458806,0.23962379205304912,-0.14110558129779016,0.06333650049810977,State authority over territory
v2smonex,0.2038868053187862,0.5455165359699966,-0.038323624532739985,0.21044211941980082,0.3416297306512104,-0.0622142067509808,Online media existence 
v2cseeorgs,0.559931772367809,0.35199255698557924,0.07293257952526525,0.24599587847162735,-0.20793921538222976,-0.06164958314143012,CSO entry and exit
v2clkill,0.4135312974523368,0.12114054327653113,-0.05267190276919572,0.2575311676834803,-0.2923907541758057,0.059801605813740694,Freedom from political killings
v2stcritrecadm,0.15433123133089946,0.2832724858944574,-0.09130344432441188,0.19866916965574807,0.12894125456355796,-0.05925821644879973,Criteria for appointment decisions in the state administration
v2jupoatck,0.3578321003538115,0.4625281440977807,-0.11842701067566956,0.22300166278188288,0.10469604374396918,-0.05559976251071574,Government attacks on judiciary
v2smonper,0.47864302235929074,0.3373939861218196,0.0897867429044907,0.23117410913558314,-0.14124903623747115,-0.05486034292327595,Online media perspectives 
v2smregcon,0.4357309357309357,0.2510822510822511,0.07937277196404817,0.26842489569307315,-0.1846486846486846,-0.05460029295062028,Internet legal regulation content 
v2exembez,0.17952755905511814,0.2810307802433787,-0.10455211419670432,0.2060860967205076,0.10150322118826055,-0.05149486812495061,Executive embezzlement and theft
v2elpdcamp,0.6323164242639234,0.34746363958850657,0.04993408498597052,0.27998240049803763,-0.28485278467541686,-0.05080270450275077,Election paid campaign advertisements
v2psoppaut,0.5312450561619997,0.39265938933713024,0.08736509199445167,0.2529514668917898,-0.13858566682486945,-0.047865108987277145,Opposition parties autonomy
v2cltrnslw,0.4050777349878762,0.23135073455997718,-0.05598290330185768,0.2043228310792895,-0.17372700042789901,0.047599878165855515,Transparent laws with predictable enforcement
v2clrgunev,0.6313364055299538,0.5521724818959841,-0.11997031757836277,0.20331646477500712,-0.07916392363396973,0.046712011590534376,Subnational civil liberties unevenness
v2mebias,0.45938421225024567,0.34850966262692434,0.0940966594752676,0.2278838806377903,-0.11087454962332133,-0.04578175828487809,Media bias
v2clsnlpct,0.634375,0.495,0.08324719237741489,0.2580891793198518,-0.13937500000000003,-0.044955691161399074,Weaker civil liberties population
v2cacritic,0.5010289694475225,0.3773943327528891,0.08210854659484103,0.22627633771500086,-0.12363463669463343,-0.04486311043518611,Academics as critics 
v2cafres,0.46542242959506747,0.30478253624395935,0.06297022099665674,0.2378888787728272,-0.16063989335110812,-0.04252207853255094,Freedom to research and teach  
v2cainsaut,0.44522563767168083,0.32537606278613473,0.07202972492736952,0.2267382048968221,-0.1198495748855461,-0.03807356557134432,Institutional autonomy 
v2elirreg,0.3270862800565771,0.198019801980198,-0.0801769027317106,0.2893362522769419,-0.12906647807637908,0.03576513615981118,Election other voting irregularities
v2capolit,0.48184568835098335,0.4151285930408472,0.09304467870810355,0.173840653942522,-0.06671709531013614,-0.03570897000607246,Engagement in independent political associations 
v2clrspct,0.31357730045080884,0.2243436754176611,-0.0819494521010997,0.20495274563326205,-0.08923362503314775,0.03567967171099295,Rigorous and impartial public administration
v2jureform,0.37217579696688335,0.524760136180749,-0.03266433635845232,0.1406629253387521,0.15258433921386566,-0.03543269249598638,Judicial reform
v2exremhsp,0.2562178072111847,0.36821192052980134,0.057461275458020974,0.18419562077452342,0.11199411331861664,0.03493744622167441,HOS removal by legislature in practice
v2smforads,0.7185938020659779,0.45618127290903027,-0.026572672882586773,0.20961240965968028,-0.2624125291569476,0.03326617116277117,Foreign governments ads 
v2smpolhate,0.16298000353919664,0.10228278180852952,-0.12755949916274525,0.23441785271257715,-0.06069722173066712,0.03302865850421037,Political parties hate speech 
v2csrlgcon,0.40840020488304596,0.34249615844288883,0.09377031460147232,0.19383919375156314,-0.06590404644015713,-0.03188128803364743,Religious organization consultation
v2pscomprg,0.7006500171057133,0.603147451248717,-0.06327508821459918,0.2016446110013482,-0.09750256585699624,0.030595826117614192,Party competition across regions
v2cldmovew,0.8550704803612974,0.6703161352128096,0.02794231211284786,0.1693512850312538,-0.18475434514848776,-0.03048375792006025,Freedom of domestic movement for women
v2lgcrrpt,0.24094202898550726,0.1907114624505929,-0.14287267815236881,0.23806250955218577,-0.05023056653491437,0.030145761209749777,Legislature corrupt activities
v2cldmovem,0.8615074218187059,0.698371523274247,0.027499212841890604,0.1570550662188029,-0.16313589854445887,-0.028563922859879454,Freedom of domestic movement for men
v2clacjust,0.11357183418512208,0.001703577512776812,-0.0541534810445858,0.21354206894448616,-0.11186825667234526,0.028369377271377852,Social class equality in respect for civil liberty
v2psnatpar,0.4480280132694434,0.9577957980095835,-0.014873325541862294,0.26747526506472286,0.5097677847401401,-0.028346330309680895,National party control
v2psprlnks,0.22127099110964765,0.3083635166282515,-0.07246657131975975,0.22266466909932858,0.08709252551860386,-0.028344401190547628,Party linkages
v2stfisccap,0.41272012309796546,0.5530859976064284,-0.042757313108434926,0.21207553358494813,0.14036587450846294,-0.02829967014414527,State fiscal source of revenue
v2elboycot,0.6711909768686676,0.4557445995029632,-0.04142111283879101,0.31702386829123835,-0.21544637736570438,0.028149390630031076,Election boycotts
v2clacfree,0.48318042813455653,0.3634556574923547,0.05451731366163829,0.23435809783606185,-0.11972477064220183,-0.02785085275241668,Freedom of academic and cultural expression
v2smparab,0.48474945533769065,0.300186741363212,-0.030272261171377376,0.2049171629931035,-0.18456271397447865,0.02726531344825262,Party dissemination of false information abroad 
v2clfmove,0.6421730255927147,0.5160935782697441,0.04261535113580042,0.20328694965969263,-0.1260794473229706,-0.02643022548998077,Freedom of foreign movement
v2clacjstm,0.36872475476053085,0.26687824581650316,-0.051031861279782285,0.20257284547621407,-0.10184650894402769,0.02565702675520744,Access to justice for men
v2lgsrvlo,0.8551708531341932,0.6942747227879609,-0.05696500785979692,0.35754077042651466,-0.1608961303462323,0.025634697041264577,Lower chamber members serve in government
v2stcritapparm,0.23771179332326786,0.3212548230162724,-0.06841986982712463,0.22549099558529295,0.08354302969300453,-0.025349141777135285,Criteria for appointment decisions in the armed forces
