country_name,year,UMAP1,UMAP2,region
Mexico,1975,1.4442400786914669,-1.0495772646358108,Latin America & Caribbean
Mexico,1985,1.245162710908874,-0.9564879225185012,Latin America & Caribbean
Mexico,1995,1.915628746513351,3.0339166833469773,Latin America & Caribbean
Mexico,2005,1.616749659542068,3.250870199353447,Latin America & Caribbean
Mexico,2015,1.8090989146270595,3.150024504811516,Latin America & Caribbean
Mexico,2025,1.9887678179778896,3.274009199292412,Latin America & Caribbean
Suriname,1975,-0.5929713692627109,2.066239328534355,Latin America & Caribbean
Suriname,1985,-0.5930614914856113,2.0175369097301865,Latin America & Caribbean
Suriname,1995,-0.6788882460556186,2.176975996644249,Latin America & Caribbean
Suriname,2005,-0.48537568711854584,2.1234584166119004,Latin America & Caribbean
Suriname,2015,-0.4760226454696811,1.9783649159977341,Latin America & Caribbean
Suriname,2025,-0.5455526556930698,2.0201402618000412,Latin America & Caribbean
Sweden,1975,-8.754390284057633,2.414814086110344,W. Europe & N. America
Sweden,1985,-8.693441912170426,2.471504063756218,W. Europe & N. America
Sweden,1995,-8.689099833007829,2.4514287425587082,W. Europe & N. America
Sweden,2005,-8.663548037048356,2.5381840182850266,W. Europe & N. America
Sweden,2015,-8.545686289306657,2.5328347398350144,W. Europe & N. America
Sweden,2025,-8.532301470275895,2.517324538380852,W. Europe & N. America
Switzerland,1975,-7.1981511559448395,1.8862818194935227,W. Europe & N. America
Switzerland,1985,-7.244897409912125,1.9809444858143235,W. Europe & N. America
Switzerland,1995,-7.200159594055191,1.9952060295650864,W. Europe & N. America
Switzerland,2005,-7.2696633782348785,2.061827333123436,W. Europe & N. America
Switzerland,2015,-7.263569399353043,2.051869840771904,W. Europe & N. America
Switzerland,2025,-7.277926966186539,2.063091547639122,W. Europe & N. America
Ghana,1975,1.5952345881500087,-1.5474984930446243,Sub-Saharan Africa
Ghana,1985,1.6037646684684597,-1.6699581430842971,Sub-Saharan Africa
Ghana,1995,0.7061661634483182,2.4671072675297165,Sub-Saharan Africa
Ghana,2005,0.6230114851035916,2.4516765786716843,Sub-Saharan Africa
