country_name,year,W,z_elembaut,z_oppaut,z_bars,z_succ
Myanmar,1945,0.22879336987961188,-0.05945786839249823,-0.18832305687975306,0.3388345526112525,0.8241198521794463
Myanmar,1946,0.34439331732672873,0.07037456744786069,-0.0416458139580576,0.5247246636376656,0.8241198521794463
Myanmar,1947,0.4059835483487179,0.18037149225705368,0.09471818532070617,0.5247246636376656,0.8241198521794463
Myanmar,1948,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1949,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1950,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1951,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1952,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1953,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1954,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1955,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1956,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1957,0.2571182966119237,0.18037149225705368,0.43161747765647546,0.47529723527226103,-0.058813018738095336
Myanmar,1958,0.10303530535317695,0.18037149225705368,0.43161747765647546,0.15563071486556793,-0.3554784633663892
Myanmar,1959,0.10303530535317695,0.18037149225705368,0.43161747765647546,0.15563071486556793,-0.3554784633663892
Myanmar,1960,0.17720166651025043,0.18037149225705368,0.43161747765647546,0.15563071486556793,-0.058813018738095336
Myanmar,1961,0.2594016289005429,0.18037149225705368,0.43161747765647546,0.48443056442673793,-0.058813018738095336
Myanmar,1962,-0.6503744638302058,-0.6082403402547562,-0.023884116573008544,-0.14469463791987985,-1.8246787605731785
Myanmar,1963,-1.0119441478267757,-1.2213379539453402,-0.8552461457893372,-0.4396474441438706,-1.5315450474285548
Myanmar,1964,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1965,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1966,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1967,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1968,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1969,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1970,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1971,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
Myanmar,1972,-1.4818642282548948,-1.2213379539453402,-1.5886323603978147,-1.2928078381032464,-1.8246787605731785
