country_name,iso3,stakeholder,satisfaction
Colombia,COL,Powerbrokers,0.39082923889867427
Comoros,COM,Magicians,0.31408232049519935
Comoros,COM,Workhorses,0.23387758159793154
Comoros,COM,Rentiers,0.29277284490120903
Comoros,COM,Powerbrokers,0.1490683229813664
Costa Rica,CRI,Magicians,0.6479325639036458
Costa Rica,CRI,Workhorses,0.8552361906518301
Costa Rica,CRI,Rentiers,0.4925900056121951
Costa Rica,CRI,Powerbrokers,0.4267752850653565
Croatia,HRV,Magicians,0.5779254260362864
Croatia,HRV,Workhorses,0.6356235430743424
Croatia,HRV,Rentiers,0.4822171648642268
Croatia,HRV,Powerbrokers,0.25905024566607954
Cyprus,CYP,Magicians,0.6083424527406939
Cyprus,CYP,Workhorses,0.7383628008315904
Cyprus,CYP,Rentiers,0.48125429781091145
Cyprus,CYP,Powerbrokers,0.4161490683229814
Czechia,CZE,Magicians,0.6881496303019867
Czechia,CZE,Workhorses,0.8702521265944582
Czechia,CZE,Rentiers,0.4441364887166515
Czechia,CZE,Powerbrokers,0.06833456938907945
Democratic Republic of the Congo,COD,Magicians,0.2590753854711532
Democratic Republic of the Congo,COD,Workhorses,0.09550871162254304
Democratic Republic of the Congo,COD,Rentiers,0.5188389727843981
Democratic Republic of the Congo,COD,Powerbrokers,0.9024172615184944
Denmark,DNK,Magicians,0.7391873353427938
Denmark,DNK,Workhorses,0.9504473241402331
Denmark,DNK,Rentiers,0.46301245735421137
Denmark,DNK,Powerbrokers,0.018633540372670843
Djibouti,DJI,Magicians,0.40918457105172124
Djibouti,DJI,Workhorses,0.359785231148234
Djibouti,DJI,Rentiers,0.4341277780724042
Djibouti,DJI,Powerbrokers,0.4749582831185686
Dominican Republic,DOM,Magicians,0.5951826769620467
Dominican Republic,DOM,Workhorses,0.5165699673727258
Dominican Republic,DOM,Rentiers,0.6458780266085594
Dominican Republic,DOM,Powerbrokers,0.5511842959117457
Ecuador,ECU,Magicians,0.47180630648001326
Ecuador,ECU,Workhorses,0.3375024803153328
Ecuador,ECU,Rentiers,0.5963399626808289
Ecuador,ECU,Powerbrokers,0.6325785667933623
Egypt,EGY,Magicians,0.48329052955397434
Egypt,EGY,Workhorses,0.3976995389081198
Egypt,EGY,Rentiers,0.6010272381637413
Egypt,EGY,Powerbrokers,0.7450635023639567
El Salvador,SLV,Magicians,0.3136835316367898
El Salvador,SLV,Workhorses,0.23029233099671217
El Salvador,SLV,Rentiers,0.3887728218106477
El Salvador,SLV,Powerbrokers,0.5112867340317049
Equatorial Guinea,GNQ,Magicians,0.3501374548153585
Equatorial Guinea,GNQ,Workhorses,0.18132073404275237
Equatorial Guinea,GNQ,Rentiers,0.5563473598803138
Equatorial Guinea,GNQ,Powerbrokers,0.9216417910447761
Eritrea,ERI,Magicians,0.2502674762585099
Eritrea,ERI,Workhorses,0.10789599409147856
Eritrea,ERI,Rentiers,0.5049570620102107
Eritrea,ERI,Powerbrokers,0.9888059701492538
Estonia,EST,Magicians,0.6921418306034945
Estonia,EST,Workhorses,0.9239127549215889
Estonia,EST,Rentiers,0.4097140951156766
Estonia,EST,Powerbrokers,0.01552795031055898
Eswatini,SWZ,Magicians,0.3018581946500981
Eswatini,SWZ,Workhorses,0.21546721123094204
Eswatini,SWZ,Rentiers,0.42929985394834186
Eswatini,SWZ,Powerbrokers,0.5432812644850282
Ethiopia,ETH,Magicians,0.3326091066273227
Ethiopia,ETH,Workhorses,0.2394426412973171
