code,name,category,PC1,PC2,PC3,PC4
v2elpubfin,Public campaign finance,Elections,0.060723305496527054,0.03720772255997316,0.09218632031478892,-0.11148143864903216
v2elembaut,EMB autonomy,Elections,0.10184244726321878,-0.054691421091359486,-0.004189681965299577,-0.005794044104400764
v2psbars,Barriers to parties,Political Parties,0.08986051603295514,-0.1041838779371036,0.07735302124373383,-0.03902568557949876
v2psprlnks,Party linkages,Political Parties,0.07338042291953763,0.0832755108901233,-0.008409382818376457,-0.10710896855958228
v2psplats,Distinct party platforms,Political Parties,0.0897125343636904,-0.009559631042384331,0.07830023202112757,-0.11165078679987964
v2juaccnt,Judicial accountability,Judiciary,0.06829193336445308,0.08661646672722147,-0.06005566632197823,0.03368945281975472
v2elmulpar,Elections multiparty,Elections,0.08008961632575297,-0.09709672327175109,-0.021926836657553656,0.03160400689832177
v2elirreg,Election other voting irregularities,Elections,0.08049594553883785,0.07872297486009178,-0.11663507156832835,-0.043570323357910334
v2elpeace,Election other electoral violence,Elections,0.05526809137409544,0.13043298058157718,-0.05817537194066093,-0.0052578878917384775
v2elboycot,Election boycotts,Elections,0.06626934289704381,0.04464546566167654,-0.05567779712691426,0.03300969370845003
v2elfrcamp,Election free campaign media,Elections,0.06657654518691723,-0.05916251158364809,0.01806413189787168,-0.014164231523582593
v2elpaidig,Election paid interest group media,Elections,0.055115921028973634,-0.09227757854638455,0.008888810659639763,0.0468682040524184
v2elfrfair,Election free and fair,Elections,0.09207205394410141,-0.03314583715384925,-0.09297850334772667,0.02490251838345845
v2elaccept,Election losers accept results,Elections,0.0771102214021837,-0.0030202175066945725,-0.0982196680477253,0.017125048866367197
v2elasmoff,Election assume office,Elections,0.04357302074439308,0.040244264676213344,-0.03253609705809093,0.0579080795916246
v2elrgpwr,Regional offices relative power,Elections,0.07401090714202889,-0.044318652135010746,-0.028893583317443718,-0.03973018202276725
v2elsnlsff,Subnational election unevenness,Elections,0.045544635512954755,0.14457729615411916,-0.06247489583624679,-0.033115247431307254
v2exdfdshs,HOS dissolution in practice,Executive,-0.06560025746436693,0.07785251198982203,-0.01566435992546189,0.10626410271255231
v2exdfcbhs,HOS appoints cabinet in practice,Executive,-0.05757096724797342,-0.01954529317474551,0.04885730910172211,0.15524542154997834
v2mecrit,Print/broadcast media critical,Media,0.09569733904202814,-0.10859899558531322,0.011967739037575288,-0.02056886424539079
v2meslfcen,Media self-censorship,Media,0.09428630528654273,-0.1006442741499401,0.01327123617865279,0.020337993939674705
v2mebias,Media bias,Media,0.09459065629356604,-0.10980988413533391,0.025136316374728608,1.3186714640771782e-4
v2mecorrpt,Media corrupt,Media,0.09917517365924775,-0.05261725922696908,-0.01819215637421102,-0.012560807527604832
v2pepwrses,Power distributed by socioeconomic position,Political Equality,0.06710300158846529,0.0733228909796304,0.03233960341163633,-0.08751859910878833
v2mecenefi,Internet censorship effort,Media,0.0630463053523855,-0.0478723569570013,-0.03195705839297023,-0.028004581594722452
v2pepwrgen,Power distributed by gender,Political Equality,0.081986416805064,0.020720920980529155,0.1107090759040189,-0.07834839796304784
v2pepwrort,Power distributed by sexual orientation,Political Equality,0.08456284181758619,0.02790271934502394,0.03575834077635829,-0.08503214598474716
v2peedueq,Educational equality,Political Equality,0.07026626711364779,0.15995255507605521,0.033947210356292085,-0.022268844971199537
v2pehealth,Health equality,Political Equality,0.07703435868584438,0.15174845585182337,0.019062702650707135,-0.010762321159982555
v2exdjdshg,HOG dissolution in practice,Executive,0.0243638164796441,0.025218743036391714,-0.13938596354987434,-0.025691315254308983
v2exdjcbhg,HOG appoints cabinet in practice,Executive,0.03530927902383194,0.003557532243343661,-0.15405980834020105,0.04330737718893847
v2exdfdshg,HOG dismisses ministers in practice,Executive,0.045221699937765376,0.01817585665456794,-0.15314774307630002,0.0019931609813504864
v2exbribe,Executive bribery and corrupt exchanges,Executive,0.08074503449645944,0.10880565779078642,-0.12263246745099542,-0.04506712559954268
v2excrptps,Public sector corrupt exchanges,Executive,0.08057063497783215,0.107154810310958,-0.12773656158327115,-0.05662246154609961
v2exthftps,Public sector theft,Executive,0.08445619014797849,0.10307468631988773,-0.12012303917768934,-0.04945471545706663
v2dlcommon,Common good,Deliberation,0.07653304270695166,0.044982038812686774,0.08518317173463048,0.04935890129197758
v2dlengage,Engaged society,Deliberation,0.09645558309787691,-0.05860307179566446,0.047641329595581414,0.03531764679740724
v2dlunivl,Means-tested v. universalistic policy,Deliberation,0.053420299777209294,0.11846073507533868,0.08526146847088265,0.08898472414337488
v2lgcrrpt,Legislature corrupt activities,Legislature,0.06071546642302901,0.1382595208609071,-0.12386374758143007,-0.06610758960091465
v2lgoppart,Legislature opposition parties,Legislature,0.09308166408140324,-0.07932959881311571,-0.008536831087673023,-0.03165589620341951
v2jureview,Judicial review,Judiciary,0.0643228861948979,-0.10425038812224391,0.06288991256966354,0.0792447964169617
v2lgdsadlo,Representation of disadvantaged social groups,Legislature,0.05199842942290242,0.023795342551135825,0.031735842555955705,-0.06780583466749943
v2lgsrvlo,Lower chamber members serve in government,Legislature,0.012635324648434537,0.04948960848169839,-0.08281462544390808,-0.07512263319689265
v2juhcind,High court independence,Judiciary,0.09272690053876641,-0.019177821774918932,-0.06540383171400381,1.3211377302781212e-4
v2strenarm,Remuneration in the Armed Forces,State Capacity,0.015362995009255675,0.0149874837644066,0.02880916322763918,0.0976214611794025
v2stcritapparm,Criteria for appointment decisions in the armed forces,State Capacity,0.08295043690480074,0.04005077499390704,-0.042317111744287865,-0.01751883601535693
v2regsupgroupssize,Regime support groups size,Regime,0.07591931203941585,0.03606494557472349,0.06097190282931468,0.023946238771540597
v2clacfree,Freedom of academic and cultural expression,Civil Liberties,0.0985513417785376,-0.07364467787738024,0.018312190473366567,0.05653712705522865
v2cltort,Freedom from torture,Civil Liberties,0.10223310429510106,0.005235294971803641,-0.02017239940497195,0.04000016608193139
v2clrelig,Freedom of religion,Civil Liberties,0.08269287641048695,-0.08176716898501152,0.017104833696911573,0.03096209961751867
v2caviol,Political violence,Mobilization & Academic,-0.05271090546888853,-0.13650068930032927,0.021691200665208604,-0.159901374640778
v2cacamps,Political polarization,Mobilization & Academic,-0.05451138679098631,-0.06326187689051914,0.09556412616810203,-0.17492991620552087
v2mefemjrn,Female journalists,Media,0.05918621333763521,0.025462396763468603,0.16293601144953326,0.023604639573624353
v2caassemb,Freedom of peaceful assembly ,Mobilization & Academic,0.10205004772972337,-0.06102036137755217,5.449370244180524e-4,0.03830505158507075
v2cagenmob,Mass mobilization,Mobilization & Academic,0.005116907307594471,-0.09718815582568345,0.1569034682716029,-0.1412996391103349
v2cademmob,Mobilization for democracy,Mobilization & Academic,0.0016676920354142333,-0.1520429700409411,0.1498397829106687,-0.07321385443384074
v2clkill,Freedom from political killings,Civil Liberties,0.09651690084487327,0.029748225719311936,0.008251085350838953,0.09494057361944662
v2caautmob,Mobilization for autocracy,Mobilization & Academic,-0.07066474793958559,0.016197144552942327,0.11958109572339817,-0.11565338682642796
v2castate,Engagement in state-administered mass organizations,Mobilization & Academic,-0.07116056299042668,0.04713404300275031,0.1267884277224882,-0.016442139466592696
v2cltrnslw,Transparent laws with predictable enforcement,Civil Liberties,0.10160436909320289,0.024617124896914973,-0.019833597201668923,0.03519189665133825
v2catrauni,Engagement in independent trade unions ,Mobilization & Academic,0.07227043252863909,-0.08902056288736519,0.030085525305405696,-0.03261334090555839
v2capolit,Engagement in independent political associations ,Mobilization & Academic,0.07172790213991802,-0.092172597643087,0.07364695743250943,0.004438669331563313
v2canonpol,Engagement in independent non-political associations ,Mobilization & Academic,0.06544741161616947,-0.06119425606578407,0.01423777355830629,0.006154704306306242
v2cafres,Freedom to research and teach  ,Mobilization & Academic,0.09540470678637715,-0.08480755575745666,5.387294354187933e-5,0.02162945885442407
v2cainsaut,Institutional autonomy ,Mobilization & Academic,0.08779865888588471,-0.09826497489856689,-0.023037499268876493,0.02509362433097527
v2clrspct,Rigorous and impartial public administration,Civil Liberties,0.0965784876932008,0.06155453200684911,-0.05397123067143521,0.0335255233600563
v2casurv,Campus integrity  ,Mobilization & Academic,0.09846810067525619,-0.05084718138217277,-0.025672843387455613,0.030614944537720606
v2cacritic,Academics as critics ,Mobilization & Academic,0.08499177012419999,-0.10923670348834914,0.024428903316385232,-0.01749583406448672
v2clfmove,Freedom of foreign movement,Civil Liberties,0.0954310901175562,-0.0696749937382961,0.02147429081035297,0.12256809397792226
v2elffelr,Subnational elections free and fair,Elections,0.09372677802088605,-0.031326252948516396,-0.07159869636204196,0.002620497231241647
v2cldiscm,Freedom of discussion for men,Civil Liberties,0.10237712464847026,-0.056235296066418805,0.03142537739821632,0.057680652658084516
v2clslavem,Freedom from forced labor for men,Civil Liberties,0.08088488242641376,-0.020789981855898806,0.07721698420975062,-1.7003337595237887e-5
v2clstown,State ownership of economy,Civil Liberties,0.07119730343048052,-0.14244566220567081,0.0015723467557946544,0.03300532150347522
v2clacjstm,Access to justice for men,Civil Liberties,0.10144295546776856,0.019603604660908942,-0.016603615076462117,0.06110160630699671
v2cseeorgs,CSO entry and exit,Civil Society,0.09442465888751327,-0.10047954410345203,0.01964296986987957,0.05146402207423553
v2csreprss,CSO repression,Civil Society,0.10181326883930795,-0.056554633638213836,0.0018668050086085262,0.05329065187901118
v2cscnsult,CSO consultation,Civil Society,0.0965032736031218,-0.049292132176117054,0.0030294610075676013,0.008107444754929024
v2csprtcpt,CSO participatory environment,Civil Society,0.0868074113744268,-0.1118640101002911,0.03304733518667588,0.003449963937387401
v2lginvstp,Legislature investigates in practice,Legislature,0.09211127417111019,-0.03722531729405347,-0.03452538702837637,-0.01576163203861739
v2eldonate,Disclosure of campaign donations,Elections,0.0761732189219756,-0.024510941811151668,0.06762034584709818,-0.015596108807311469
v2psorgs,Party organizations,Political Parties,0.07610117665100295,0.0023387228497842786,0.13050584137283638,-0.1291989373819979
v2pepwrsoc,Power distributed by social group,Political Equality,0.08640657082494668,0.008529082344187757,0.036256817835799655,-0.024670370683354363
v2exdfvthg,HOG veto power in practice,Executive,-0.03433889074047647,0.022388428629393057,-0.10310401038030777,0.10509997462135201
v2elvotbuy,Election vote buying,Elections,0.059956665896341584,0.14733623411914723,-0.09761045363718121,-0.10769971296271183
v2lgotovst,Executive oversight,Legislature,0.09024536124434615,-0.004686193092689368,-0.02396530615531355,-0.02738852766840444
v2lgfunds,Legislature controls resources,Legislature,0.08223986539532446,-0.06074721936504348,0.011976045590196572,-0.04508248600780051
v2jucorrdc,Judicial corruption decision,Judiciary,0.07624444476562449,0.1175468145323319,-0.1310159343532002,-0.038659798938040155
v2elintim,Election government intimidation,Elections,0.08988837503981728,-0.02029633928941043,-0.11058533627216664,0.036662893693098726
v2jucomp,Compliance with judiciary,Judiciary,0.0946784830448958,0.003650702054768371,-0.06576160812657722,0.03003009183489202
v2mecenefibin,Internet binary,Media,0.020676691734226347,-0.0014405479236991345,0.016223484551191474,-0.002592328123844575
v2exdfvths,HOS veto power in practice,Executive,-0.07597796757492069,0.012132982234409237,0.05007229766971892,0.12431133023940558
v2exdfpphg,HOG proposes legislation in practice,Executive,-0.0028707826172300922,-0.007859310002662804,0.12326914912886089,-0.0937728489197271
v2cldmovem,Freedom of domestic movement for men,Civil Liberties,0.08180474649055755,-0.054082425608589405,0.06187780457523415,0.1443866469437774
v2clprptym,Property rights for men,Civil Liberties,0.08439312832479849,-0.07343862739351656,0.04605396579255108,0.0637937967375273
v2clacjust,Social class equality in respect for civil liberty,Civil Liberties,0.08242567616671011,0.08503623790054272,0.036737773020517527,-0.020558143176618738
v2clsocgrp,Social group equality in respect for civil liberties,Civil Liberties,0.08022107127770133,0.036473691591436104,0.071483088457554,0.007698518711173538
v2svdomaut,Domestic autonomy,Sovereignty,0.04466964040562858,0.0363344699969058,0.08722146781739697,0.1885494853938244
v2svinlaut,International autonomy,Sovereignty,0.04753942572158446,0.026512261739848084,0.09762335445514382,0.16014221421540575
v2jupurge,Judicial purges,Judiciary,0.08331253024622468,0.01667331337458116,-0.029198571923471518,0.06929852582302573
v2exrescon,Executive respects constitution,Executive,0.09473565463642034,0.01851762572811095,-0.04591385750394106,0.03457454256220027
v2exembez,Executive embezzlement and theft,Executive,0.08905731367165458,0.08593214955554442,-0.10203084540963683,-0.060647104391497626
v2elembcap,EMB capacity,Elections,0.08838494520549901,0.07005717640874691,0.07640731237801737,-0.04894842210416577
v2psparban,Party ban,Political Parties,0.08194970623577834,-0.12308568769464438,0.06165612727780766,0.04067070571931282
v2exdfpphs,HOS proposes legislation in practice,Executive,0.07604247715729001,-0.006343415643881495,-0.043352472838972006,-0.10031775517169016
v2pscnslnl,Candidate selection-national/local,Political Parties,0.06780167639505147,-0.034528439759413276,0.0012179704127504732,0.04491936498842745
v2lgdsadlobin,Representation of disadvantaged social groups binary,Legislature,0.0034506932388925914,-0.016339223692111157,0.008993246805014114,-0.013766191178494735
v2strenadm,Bureaucratic remuneration,State Capacity,0.04949178434519884,0.06616146787142002,0.04989930550671745,0.012856610651804405
v2pscomprg,Party competition across regions,Political Parties,0.05347394174755365,0.06853870494935328,0.1223350712411522,-0.05941016812239961
v2elffelrbin,Subnational elections held,Elections,0.039731057530393105,-0.01342682043381043,0.07402008081131771,-0.02275231111409289
v2regimpgroup,Regime most important support group,Regime,-0.00452433526638106,-0.010062569860568221,-0.045976321715824664,-0.23751677211118608
v2clpolcl,Political group equality in respect for civil liberties,Civil Liberties,0.09809205921073556,-0.03684616155773165,0.0031707352115651426,0.037121402825061066
v2clgeocl,Urban-rural location equality in respect for civil liberties ,Civil Liberties,0.08075862681154175,0.09079830095347322,0.06912067715821651,-0.0050152552085789715
v2peapssoc,Access to public services distributed by social group,Political Equality,0.08336448687351228,0.12368460990796787,0.0545419532678067,0.02488513932216066
v2peapsgen,Access to public services distributed by gender ,Political Equality,0.08022417097137567,0.11777940739847702,0.07781912834092211,-0.029629758689295082
v2peapsecon,Access to public services distributed by socio-economic position ,Political Equality,0.0783399188825361,0.14452141686542183,0.04084929896580862,0.003628621965641059
v2peapspol,Access to public services distributed by political group ,Political Equality,0.09081798734566955,0.04211076098850394,0.022712600385491492,0.06480276948378969
v2peapsgeo,Access to public services distributed by urban-rural location ,Political Equality,0.07999732098584639,0.13647387337244662,0.04353643681846296,0.01003591088123018
v2peasjsoc,Access to state jobs by social group ,Political Equality,0.08658499739522539,0.07071726800946083,0.06795268155754568,0.021736693536373235
v2peasjgen,Access to state jobs by gender  ,Political Equality,0.08193468977356938,0.08927896472531102,0.12176038520655076,-0.008794444855362023
v2peasjsoecon,Access to state jobs by socio-economic position ,Political Equality,0.081144320023127825,0.1241630102577546,0.0630767768984757,0.012031187739912824
v2peasjgeo,Access to state jobs by urban-rural location  ,Political Equality,0.07459497289622403,0.10002738384859497,0.07639694203607131,0.00593909754404007
v2peasjpol,Access to state jobs by political group  ,Political Equality,0.09199019825432213,0.047046577820132766,-0.013909456909216831,0.042750642909741336
v2peasbsoc,Access to state business opportunities by social group  ,Political Equality,0.09265799859373383,0.06673785058554191,0.04624616813290829,-0.004983598194430203
v2peasbgen,Access to state business opportunities by gender  ,Political Equality,0.08270370993724038,0.0993252615685749,0.11479902598021507,-0.023185603597869718
v2peasbecon,Access to state business opportunities by socio-economic position  ,Political Equality,0.0832339444656538,0.11443879289749119,0.05397117692270544,-0.0305463657071551
v2psnatpar,National party control,Political Parties,-0.04071452742919625,0.034014471116751085,0.055099702372888075,0.07449078043783113
v2peasbepol,Access to state business opportunities by political group  ,Political Equality,0.09341946301581092,0.05719792185219158,-0.03763957095261246,0.03909374514357252
v2peasbegeo,Access to state business opportunities by urban-rural location ,Political Equality,0.08194709746980315,0.11112751800100476,0.02977605556976513,-0.03710152292943621
v2exl_legitratio,Rational-legal legitimation ,Executive,0.07293167687017027,0.008170456066155194,0.09409346548457445,0.09688398972105672
v2exl_legitlead,Person of the Leader,Executive,-0.07682904771079686,0.052966761465622264,0.06526316229101989,0.12793915534161196
v2exl_legitideol,Ideology ,Executive,-0.06971404455276578,0.0996581662708895,0.05195022443972994,-0.005018258272559632
v2clrgunev,Subnational civil liberties unevenness,Civil Liberties,0.06282716535516294,0.12491821807759097,-0.040316510052759665,-1.6587919691235978e-4
v2csgender,CSO women's participation,Civil Society,0.08387352290742402,-0.00553109228298464,0.12453378175244656,0.004513556161483093
